[2022-02-28 11:44:47,967] : Set I Built a BASS Out of my YouTube Gold Play Button [2022-02-28 114014].wav on instrumental channel
[2022-02-28 11:44:48,843] : Playing ./sounds/instrumental/I Built a BASS Out of my YouTube Gold Play Button [2022-02-28 114014].wav on instrumental channel with length 7804
[2022-02-28 11:44:56,651] : Playing ./sounds/instrumental/I Built a BASS Out of my YouTube Gold Play Button [2022-02-28 114014].wav on instrumental channel with length 7804
[2022-02-28 11:44:56,652] : Looping
[2022-02-28 11:44:57,885] : Exiting Stem Player
[2022-02-28 11:55:58,517] : Initialized Stem Player
[2022-02-28 11:55:58,580] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 11:56:01,124] : Set Todo De Ti lead melody (Freeze) [2022-02-28 114656].wav on instrumental channel
[2022-02-28 11:56:02,567] : Play/Pause - current state is stopped, so now replaying all loops
[2022-02-28 11:56:02,567] : Playing ./sounds/instrumental/Todo De Ti lead melody (Freeze) [2022-02-28 114656].wav on instrumental channel with length 8727
[2022-02-28 11:56:06,439] : Set TVA [2022-02-28 114009].wav on melody channel
[2022-02-28 11:56:11,014] : Playing ./sounds/instrumental/Todo De Ti lead melody (Freeze) [2022-02-28 114656].wav on instrumental channel with length 8727
[2022-02-28 11:56:11,014] : Playing ./sounds/melody/TVA [2022-02-28 114009].wav on melody channel with length 1636
[2022-02-28 11:56:12,653] : Playing ./sounds/melody/TVA [2022-02-28 114009].wav on melody channel with length 1636
[2022-02-28 11:56:12,654] : Playing ./sounds/instrumental/Todo De Ti lead melody (Freeze) [2022-02-28 114656].wav on instrumental channel with length 8727
[2022-02-28 11:56:12,654] : Looping
[2022-02-28 11:56:14,290] : Playing ./sounds/instrumental/Todo De Ti lead melody (Freeze) [2022-02-28 114656].wav on instrumental channel with length 8727
[2022-02-28 11:56:14,290] : Playing ./sounds/melody/TVA [2022-02-28 114009].wav on melody channel with length 1636
[2022-02-28 11:56:14,291] : Looping
[2022-02-28 11:56:15,931] : Playing ./sounds/instrumental/Todo De Ti lead melody (Freeze) [2022-02-28 114656].wav on instrumental channel with length 8727
[2022-02-28 11:56:15,932] : Playing ./sounds/melody/TVA [2022-02-28 114009].wav on melody channel with length 1636
[2022-02-28 11:56:15,932] : Looping
[2022-02-28 11:56:17,571] : Playing ./sounds/instrumental/Todo De Ti lead melody (Freeze) [2022-02-28 114656].wav on instrumental channel with length 8727
[2022-02-28 11:56:17,571] : Playing ./sounds/melody/TVA [2022-02-28 114009].wav on melody channel with length 1636
[2022-02-28 11:56:17,571] : Looping
[2022-02-28 11:56:17,896] : Set TVA [2022-02-28 114008].wav on melody channel
[2022-02-28 11:56:18,846] : Playing ./sounds/instrumental/Todo De Ti lead melody (Freeze) [2022-02-28 114656].wav on instrumental channel with length 8727
[2022-02-28 11:56:18,846] : Playing ./sounds/melody/TVA [2022-02-28 114008].wav on melody channel with length 1317
[2022-02-28 11:56:20,168] : Playing ./sounds/instrumental/Todo De Ti lead melody (Freeze) [2022-02-28 114656].wav on instrumental channel with length 8727
[2022-02-28 11:56:20,169] : Playing ./sounds/melody/TVA [2022-02-28 114008].wav on melody channel with length 1317
[2022-02-28 11:56:20,169] : Looping
[2022-02-28 11:56:21,379] : Playing ./sounds/melody/TVA [2022-02-28 114008].wav on melody channel with length 1317
[2022-02-28 11:56:21,380] : Playing ./sounds/instrumental/Todo De Ti lead melody (Freeze) [2022-02-28 114656].wav on instrumental channel with length 8727
[2022-02-28 11:56:23,299] : Stopped playback
[2022-02-28 11:56:46,517] : Set Tim Berg - Bromance (Aviciis Arena Mix) (Official Video HD) [2022-02-28 114008].wav on melody channel
[2022-02-28 11:56:50,338] : Exiting Stem Player
[2022-02-28 11:57:10,575] : Initialized Stem Player
[2022-02-28 11:57:10,635] : This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
[2022-02-28 11:57:13,007] : Set Roses (feat. ROZES) (Official Instrumental) - The Chainsmokers (Freeze) [2022-02-28 115310].wav on instrumental channel
[2022-02-28 11:57:14,546] : Play/Pause - current state is stopped, so now replaying all loops
[2022-02-28 11:57:14,546] : Playing ./sounds/instrumental/Roses (feat. ROZES) (Official Instrumental) - The Chainsmokers (Freeze) [2022-02-28 115310].wav on instrumental channel with length 8727
[2022-02-28 11:57:17,797] : Set My Universe (Instrumental) (Freeze) [2022-02-28 115309].wav on melody channel
[2022-02-28 11:57:18,999] : Play/Pause - current state is playing, so now pausing
[2022-02-28 11:57:21,908] : Play/Pause - current state is paused, so now unpausing
[2022-02-28 11:57:23,276] : Playing ./sounds/melody/My Universe (Instrumental) (Freeze) [2022-02-28 115309].wav on melody channel with length 8727
[2022-02-28 11:57:23,276] : Playing ./sounds/instrumental/Roses (feat. ROZES) (Official Instrumental) - The Chainsmokers (Freeze) [2022-02-28 115310].wav on instrumental channel with length 8727
[2022-02-28 11:57:23,277] : Looping
[2022-02-28 11:57:32,008] : Playing ./sounds/instrumental/Roses (feat. ROZES) (Official Instrumental) - The Chainsmokers (Freeze) [2022-02-28 115310].wav on instrumental channel with length 8727
[2022-02-28 11:57:32,008] : Playing ./sounds/melody/My Universe (Instrumental) (Freeze) [2022-02-28 115309].wav on melody channel with length 8727
[2022-02-28 11:57:32,008] : Looping
[2022-02-28 11:57:32,850] : Set Vocal Synth Lead (Freeze) [2022-02-28 115316].wav on melody channel
[2022-02-28 11:57:40,765] : Set Lorne Balfe - Red Rising (From 'Black Widow'_Audio Only) (Freeze) [2022-02-28 115318].wav on vocals channel
[2022-02-28 11:57:40,766] : Playing ./sounds/instrumental/Roses (feat. ROZES) (Official Instrumental) - The Chainsmokers (Freeze) [2022-02-28 115310].wav on instrumental channel with length 8727
[2022-02-28 11:57:40,766] : Playing ./sounds/melody/Vocal Synth Lead (Freeze) [2022-02-28 115316].wav on melody channel with length 8727
[2022-02-28 11:57:40,767] : Playing ./sounds/vocals/Lorne Balfe - Red Rising (From 'Black Widow'_Audio Only) (Freeze) [2022-02-28 115318].wav on vocals channel with length 8727
[2022-02-28 11:57:40,767] : Looping
[2022-02-28 11:57:49,498] : Playing ./sounds/instrumental/Roses (feat. ROZES) (Official Instrumental) - The Chainsmokers (Freeze) [2022-02-28 115310].wav on instrumental channel with length 8727
[2022-02-28 11:57:49,498] : Playing ./sounds/melody/Vocal Synth Lead (Freeze) [2022-02-28 115316].wav on melody channel with length 8727
[2022-02-28 11:57:49,498] : Playing ./sounds/vocals/Lorne Balfe - Red Rising (From 'Black Widow'_Audio Only) (Freeze) [2022-02-28 115318].wav on vocals channel with length 8727
[2022-02-28 11:57:49,499] : Looping
[2022-02-28 11:57:58,235] : Set The Chainsmokers - All We Know ft. Phoebe Ryan (Official Instrumental) (Freeze) [2022-02-28 114640].wav on vocals channel
[2022-02-28 11:57:58,236] : Playing ./sounds/instrumental/Roses (feat. ROZES) (Official Instrumental) - The Chainsmokers (Freeze) [2022-02-28 115310].wav on instrumental channel with length 8727
[2022-02-28 11:57:58,236] : Playing ./sounds/melody/Vocal Synth Lead (Freeze) [2022-02-28 115316].wav on melody channel with length 8727
[2022-02-28 11:57:58,236] : Playing ./sounds/vocals/The Chainsmokers - All We Know ft. Phoebe Ryan (Official Instrumental) (Freeze) [2022-02-28 114640].wav on vocals channel with length 8727
[2022-02-28 11:57:58,237] : Looping
[2022-02-28 11:58:06,917] : Set Megan Thee Stallion - Thot Shit (Instrumental) (Freeze) [2022-02-28 115314].wav on melody channel
[2022-02-28 11:58:06,964] : Playing ./sounds/instrumental/Roses (feat. ROZES) (Official Instrumental) - The Chainsmokers (Freeze) [2022-02-28 115310].wav on instrumental channel with length 8727
[2022-02-28 11:58:06,965] : Playing ./sounds/melody/Megan Thee Stallion - Thot Shit (Instrumental) (Freeze) [2022-02-28 115314].wav on melody channel with length 8727
[2022-02-28 11:58:06,965] : Playing ./sounds/vocals/The Chainsmokers - All We Know ft. Phoebe Ryan (Official Instrumental) (Freeze) [2022-02-28 114640].wav on vocals channel with length 8727
[2022-02-28 11:58:06,966] : Looping
[2022-02-28 11:58:13,666] : Set I Built a BASS Out of my YouTube Gold Play Button (Freeze) [2022-02-28 115317].wav on vocals channel
[2022-02-28 11:58:15,695] : Playing ./sounds/instrumental/Roses (feat. ROZES) (Official Instrumental) - The Chainsmokers (Freeze) [2022-02-28 115310].wav on instrumental channel with length 8727
[2022-02-28 11:58:15,695] : Playing ./sounds/melody/Megan Thee Stallion - Thot Shit (Instrumental) (Freeze) [2022-02-28 115314].wav on melody channel with length 8727
[2022-02-28 11:58:15,696] : Playing ./sounds/vocals/I Built a BASS Out of my YouTube Gold Play Button (Freeze) [2022-02-28 115317].wav on vocals channel with length 8727
